62
START	0	1098734	2
NN	1	1025192	18
TART 	2	549367	1
.	3	439284	3
VBG	4	328148	5
VBZ	5	313547	6
NN .	6	284918	3
NNS	7	279491	6
NN VBZ	8	272464	3
a	9	264426	7
ART T	10	215653	1
ART A	11	214847	1
a NN	12	213630	6
A	13	205353	3
RT A 	14	205331	1
START A	15	205251	1
JJ	16	202155	12
RT Th	17	179354	1
A NN	18	177026	2
START A NN	19	176990	1
T The	20	170483	1
VBP	21	162147	4
 the 	22	156532	8
the	23	156527	8
VBZ VBG	24	147460	3
 The 	25	143786	2
The	26	143659	2
START The	27	143569	1
NN VBZ VBG	28	138334	3
 are 	29	126915	4
the NN	30	126288	6
NNS VBP	31	118449	3
JJ NN	32	114541	7
 man 	33	111872	3
A NN VBZ	34	111866	2
START A NN VBZ	35	111865	1
in	36	105108	4
n is 	37	97242	2
The NN	38	95679	2
START The NN	39	95660	1
man i	40	93952	3
an is	41	84694	2
a NN .	42	83654	2
ing a	43	82489	4
NN NN	44	79717	5
VBP VBG	45	79518	3
The NN VBZ	46	74123	1
START The NN VBZ	47	74119	1
RB	48	70640	6
on	49	68725	4
NNS VBP VBG	50	64707	3
n the	51	64253	3
A NN VBZ VBG	52	62066	1
START A NN VBZ VBG	53	62066	1
the NN .	54	62028	1
eople	55	61083	3
ople 	56	60518	3
T A m	57	59493	1
oman 	58	58340	2
woman	59	57594	2
 woma	60	57550	2
 A ma	61	57238	2
A man	62	55931	2
ng a 	63	55136	3
ting 	64	53859	3
VBG a	65	53337	3
of	66	50364	3
king 	67	50324	3
to	68	49253	4
 play	69	48337	3
NNS .	70	48317	2
 peop	71	46485	2
peopl	72	46462	2
e are	73	45584	2
There	74	45148	2
ying 	75	44538	3
ding 	76	44058	3
a JJ	77	43564	4
VBG a NN	78	42669	3
NN VBG	79	42576	4
ing t	80	41181	3
at	81	41166	3
VB	82	40978	4
NN of	83	40425	3
a JJ NN	84	39278	4
ing .	85	39213	2
s are	86	37913	2
START The NN VBZ VBG	87	37809	1
The NN VBZ VBG	88	37809	1
 in a	89	37195	3
NN in	90	37111	4
 and 	91	36714	4
and	92	36711	4
NNP	93	36318	9
ing o	94	36227	2
 in t	95	36041	3
in th	96	35674	3
The m	97	35474	2
ple a	98	35184	2
in a 	99	34833	3
NN NN .	100	34622	2
in a	101	34589	3
VBG NN	102	34445	2
RT Tw	103	34284	1
 Two 	104	34230	1
Two	105	34224	1
T Two	106	34221	1
START Two	107	34210	1
he ma	108	34141	2
le ar	109	33826	2
e man	110	33759	2
 with	111	33546	3
n are	112	33336	2
in the	113	33027	3
with	114	32960	3
with 	115	32951	3
 is s	116	32597	2
The NNS	117	32571	2
START The NNS	118	32568	1
 girl	119	32556	3
aying	120	32055	3
JJ NN .	121	31861	2
JJ NN VBZ	122	31575	2
layin	123	31434	3
VBD	124	31319	4
VBZ a	125	31063	2
his	126	30784	4
 his 	127	30782	4
ing i	128	30401	2
VBN	129	30229	4
Two NNS	130	29750	1
START Two NNS	131	29738	1
ring 	132	29641	3
a NN NN	133	29552	3
to VB	134	29543	4
playi	135	29518	3
JJ NNS	136	29506	4
VBZ VBG a	137	29392	2
T A w	138	29282	1
en ar	139	29279	2
The NNS VBP	140	28769	1
START The NNS VBP	141	28768	1
RP	142	28492	3
in the NN	143	28479	2
e is 	144	28343	2
ng in	145	28243	2
 A wo	146	27933	1
NN VBZ VBG a	147	27901	2
 on a	148	27459	2
START NNS	149	27376	1
A wom	150	27368	1
side 	151	27168	3
tting	152	27038	3
RB .	153	26652	1
VBG .	154	26580	1
their	155	26571	6
on a 	156	26427	2
on a	157	26270	2
 on t	158	25699	3
here 	159	25455	3
A JJ	160	25446	1
START A JJ	161	25442	1
g in 	162	25171	2
for	163	25015	3
 for 	164	25012	3
girl 	165	24978	2
in a NN	166	24932	3
the s	167	24851	3
on th	168	24756	3
 men 	169	24726	2
VBZ a NN	170	24700	2
 boy 	171	24417	2
 is a	172	24026	2
child	173	23638	3
 chil	174	23635	3
VBZ VBG a NN	175	23543	2
aring	176	23535	2
 is w	177	23517	2
men a	178	23482	2
ng on	179	23448	2
his NN	180	23391	3
g on 	181	23306	2
T A g	182	23156	1
 dog 	183	22757	3
on the	184	22696	3
 Ther	185	22623	1
START There	186	22539	1
A JJ NN	187	22510	1
START A JJ NN	188	22507	1
 wear	189	22435	3
NN VBZ VBG a NN	190	22408	2
 outs	191	22356	2
tside	192	22347	2
utsid	193	22346	2
outsi	194	22313	2
VBG in	195	22104	2
on a NN	196	22043	2
y is 	197	21983	2
NNS VBG	198	21935	3
Two NNS VBP	199	21758	1
START Two NNS VBP	200	21750	1
NN and	201	21383	3
earin	202	21062	2
VBG on	203	20974	2
e wom	204	20898	2
weari	205	20841	2
 is p	206	20696	2
hing 	207	20670	2
on the NN	208	20622	3
he wo	209	20621	2
erson	210	20411	2
s in 	211	20217	2
rson 	212	20085	2
perso	213	20072	2
 pers	214	20058	2
ng th	215	19841	3
JJ .	216	19653	1
ittin	217	19611	2
 walk	218	19550	2
e peo	219	19525	2
the b	220	19388	3
ART t	221	19262	1
 sitt	222	18965	2
sitti	223	18951	2
of NNS	224	18950	3
stand	225	18894	2
ther 	226	18824	3
VBZ RB	227	18799	3
 grou	228	18741	3
VBG NNS	229	18733	2
 stan	230	18642	2
NN VBZ a	231	18628	2
VBG a NN .	232	18520	1
T A b	233	18376	1
while	234	18207	4
lking	235	17838	2
alkin	236	17805	2
t the	237	17800	3
are s	238	17790	2
The w	239	17770	2
her	240	17730	4
VBZ JJ	241	17664	2
 her 	242	17640	4
NN VBD	243	17527	3
NN of NNS	244	17523	2
NN NNS	245	17407	3
ART a	246	17406	1
NN on	247	17320	3
ng to	248	17191	2
are p	249	17187	2
in the NN .	250	17170	1
ing f	251	17009	2
START NNS VBP	252	16871	1
ning 	253	16867	3
START a	254	16771	1
RT a 	255	16768	1
a NN NN .	256	16656	1
NN VBP	257	16563	2
NN VBZ RB	258	16503	2
START NNP	259	16494	1
g the	260	16490	2
s on 	261	16392	2
a JJ NN .	262	16368	2
 at a	263	16320	2
roup 	264	16296	2
group	265	16287	3
for a	266	16234	4
NN with	267	16095	3
ART P	268	16089	1
RT th	269	16040	1
The NNS VBP VBG	270	16003	1
START The NNS VBP VBG	271	16003	1
in NN	272	15988	3
s pla	273	15985	2
ide .	274	15809	1
JJ NN VBZ VBG	275	15699	2
ping 	276	15656	2
n in 	277	15527	3
omen 	278	15522	2
NN VBZ JJ	279	15509	2
e in 	280	15484	3
T the	281	15328	1
A NN VBG	282	15325	1
START A NN VBG	283	15324	1
p of 	284	15307	2
an	285	15283	3
Three	286	15187	2
 work	287	15184	3
ball 	288	15183	3
The p	289	15163	1
RT Pe	290	15075	1
START a NN	291	14933	1
r is 	292	14863	2
VBG NN .	293	14852	1
at th	294	14802	3
lding	295	14769	3
at a 	296	14764	2
oung 	297	14704	3
NN VBZ a NN	298	14653	2
 Peop	299	14635	1
Peopl	300	14632	1
T Peo	301	14608	1
at a	302	14584	2
e pla	303	14559	2
 at t	304	14477	2
hild 	305	14434	3
ing h	306	14345	2
 youn	307	14342	3
women	308	14333	2
 wome	309	14327	2
young	310	14325	3
T A c	311	14303	1
he pe	312	14287	2
nding	313	14282	3
T A p	314	14272	1
g to 	315	14238	2
VBG RB	316	14224	2
is a 	317	14187	2
l is 	318	14150	2
ART S	319	14128	1
up of	320	14114	2
oup o	321	13991	2
 is o	322	13985	2
man w	323	13945	3
other	324	13938	3
VBG RP	325	13924	2
the NNS	326	13784	3
irl i	327	13760	2
at the	328	13666	2
START the	329	13616	1
A JJ NN VBZ	330	13614	1
START A JJ NN VBZ	331	13613	1
VBG to	332	13520	2
 is r	333	13501	2
NN in a	334	13383	3
heir 	335	13380	3
A NN VBZ VBG a	336	13302	1
 thei	337	13294	3
boy i	338	13288	2
a NN VBZ	339	13262	2
re is	340	13205	2
the p	341	13138	3
walki	342	13104	2
The b	343	13102	1
the c	344	13096	3
are w	345	13029	2
andin	346	12894	3
Two NNS VBP VBG	347	12875	1
START Two NNS VBP VBG	348	12872	1
 a ma	349	12866	3
A NN of	350	12856	2
START A NN of	351	12853	1
ere i	352	12793	2
VBG JJ	353	12748	2
 down	354	12655	2
tandi	355	12625	2
